"rt","chain","gloss","trialnum","response","clozeIndex","document","original","condition","age","comments","education","ethnicity","gender","language","languageFree","studyQuestionGuess","workerid"
17370,"110","I wonder.",6,"I ask.",3,"050","I wonder, however, what we could have done differently to avoid his attitude.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
6469,"78","You think.",7,"We leave.",1,"022","If anyone should know better, you'd think it was him, except for his sense of entitlement.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
9712,"41","We people.",8,"We enter.",1,"243","We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
11652,"18","I tip.",9,"We leave.",2,"271","I usually tip well, but I gave the waiter 12%, which actually was too much.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
5800,"168","Husband decide.",10,"I drop.",0,"177","My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
13545,"22","I order.",11,"I see.",0,"153","I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
9189,"40","I have.",12,"I accept.",1,"086","I always had to speak up and try to get her attention for a refill.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
6240,"84","Seconds come.",13,"I sit.",0,"063","A few seconds later the server came to check on us and asked how our food was.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
23459,"102","Salad deliver before appetizer.",14,"Waiter ask.",5,"151","The salads with the dinners were delivered before the appetizer we ordered.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
10299,"76","She break.",15,"He asks.",0,"033","Of course, she breaks the teabag inside.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
6705,"29","It happen on holiday.",16,"We arrive.",0,"171","It happened on a bank holiday and I was not at work that day.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
7733,"47","He mention.",17,"He ask.",1,"025","At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","caveman","21","This was fun! Thank you.","2","White","female","eng",NA,"To judge creativity.",22
55279,"68","Manager shout.",1,"The couple walked out of the restaurant.",6,"196","The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
14873,"11","Son behave.",2,"We apologized for the problem.",4,"191","Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
106575,"84","Server start.",3,"We then worked on eating the food.",1,"063","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
9505,"47","He mention.",4,"He took our order.",1,"025","At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
16222,"76","She decide.",5,"We apologized many times.",1,"033","At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
6461,"78","We allow.",6,"We stood around.",0,"022","As I said, we did not allow it to tarnish our evening.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
15682,"110","Dish hot.",7,"I still need to work.",1,"050","The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
5572,"18","We remain.",8,"We thank him.",1,"271","Just to spite him, we remained at our table for nearly 3 hours.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
71489,"86","I order.",9,"Other people order their food.",1,"248","When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
5914,"40","I have.",10,"We accept the offer.",1,"086","I always had to speak up and try to get her attention for a refill.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
18390,"41","Food good.",11,"We made reservations.",0,"243","The food was good, the service was good, we had a fun time.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
11785,"29","It pour.",12,"We were surprised.",1,"171","It was also pouring with rain outside and the restaurant was very busy with only about two tables free.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
7049,"41","We seat.",13,"We sat down.",2,"120","We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
3833,"62","I stick.",14,"I pushed.",0,"151","At this point I'm just sticking around to watch the show.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
6723,"88","I interrupt.",15,"I apologized.",1,"023","I interrupted her stating, ""I will go get my manager,'' and walked away.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
15750,"22","I order.",16,"It worked.",0,"153","I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
8037,"20","Couple run.",17,"Sister orders.",1,"177","A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.","event_only","30","Very interesting study!  I hope you find my work useful!","2","Caucasian","male","eng",NA,"Hmmm...  I think the HIT is about how people reason through information when they don't have enough details.",23
49560,"168","My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.",1,"My friend knocked over a dessert cart at a restaurant.",0,"177","My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
29188,"18","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",2,"Our waiter kept trying to rush us to finish our meals.",0,"271","The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
77259,"29","It happened on a bank holiday and I was not at work that day.",3,"I couldn't enjoy my meal, because of two screaming babies in the restaurant.",0,"171","It happened on a bank holiday and I was not at work that day.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
75581,"102","We started on our way out of the restaurant.",4,"We got up and headed for the door.",7,"151","We started on our way out of the restaurant.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
68949,"68","He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",5,"The man got up, scoffed at the manager and walked towards the door.",3,"196","He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
36178,"40","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",6,"My waitress wasn't very attentive.",0,"086","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
40798,"84","A few seconds later the server came to check on us and asked how our food was.",7,"My wife told the server that her steak was overcooked.",0,"063","A few seconds later the server came to check on us and asked how our food was.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
46783,"88","He told them they were no longer welcome.",8,"The couple were so disrespectful to me.",5,"023","He told them they were no longer welcome.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
33372,"125","He was standing next to me, but I did my best to concentrate on my soda and be polite.",9,"It seemed as though he was going to kiss my mum.",1,"120","He was standing next to me, but I did my best to concentrate on my soda and be polite.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
36843,"41","We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",10,"The restaurant seemed loud with all the people talking.",1,"243","We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
35970,"86","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.",11,"I'm never going to this restaurant again.",0,"248","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
59369,"76","Of course, she breaks the teabag inside.",12,"The woman kept changing her order, and had been talking on her phone for five minutes.",0,"033","Of course, she breaks the teabag inside.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
37287,"110","The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.",13,"Our server was extremely rude to us at the restaurant.",1,"050","The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
24686,"22","It was a good thing that they didn't prepare my meal before giving me the price!",14,"The waitress told me there was an ATM next door if I needed to get cash.",1,"153","It was a good thing that they didn't prepare my meal before giving me the price!","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
28821,"48","In reality this ""judge'' was trying to hide his martini on the floor.",15,"The man loudly complained and then proceeded to knock a glass off the bar.",1,"022","In reality this ""judge'' was trying to hide his martini on the floor.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
34299,"10","It's freezing this time of year so I didn't want to sit near the door.",16,"I noticed a server on staff that day was the same one who'd been rude to me before.",1,"025","It's freezing this time of year so I didn't want to sit near the door.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
73989,"11","Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.",17,"My kid started to scream loudly, because he was tired.",4,"191","Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","original","41","It was much too lengthy for the pay.","4","white","female","eng",NA,"perception of comments",24
